"PARTIDO","SIGLA","NR_PARTIDO","CNPJ","ESFERA","UF","MUNICIPIO","NR_BANCO","NR_AGENCIA","DV_AGENCIA","NR_CONTA","DV_CONTA","FONTE_RECURSO"
"SOLIDARIEDADE","SDD",77,"19675695000130","Estadual","RN","NA","001","1588","1","39748","2","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"19675695000130","Estadual","RN","NA","001","1588","1","37222","6","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"19675695000130","Estadual","RN","NA","001","1588","1","37113","0","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"10277540000170","Municipal","RN","NATAL","001","3525","4","40731","3","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"10277540000170","Municipal","RN","NATAL","001","3525","4","34457","5","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"10277540000170","Municipal","RN","NATAL","000","3525","4","40611","2","Fundo Partidário"
"PODEMOS","PODE",19,"24689990000185","Municipal","RN","LAJES","001","1088","x","16779","7","Outros Recursos"
"PODEMOS","PODE",19,"24689990000185","Municipal","RN","LAJES","001","1088","x","16778","9","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"05793995000109","Municipal","RN","SANTA CRUZ","001","0701","3","19696","7","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"12755187000112","Municipal","RN","MOSSORÓ","104","0560","0","1134","7","Outros Recursos"
"DEMOCRATAS","DEM",25,"01313668000151","Estadual","RO","NA","001","0951","2","99119","8","Outros Recursos"
"DEMOCRATAS","DEM",25,"01313668000151","Estadual","RO","NA","001","0951","2","2501","1","Fundo Partidário"
"DEMOCRATAS","DEM",25,"01313668000151","Estadual","RO","NA","001","0951","2","2500","3","Fundo Partidário"
"DEMOCRATAS","DEM",25,"01313668000151","Estadual","RO","NA","001","3796","6","99119","8","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"84638196000134","Estadual","RO","NA","001","0102","3","99161","9","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"84638196000134","Estadual","RO","NA","001","0102","3","30188","4","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"84638196000134","Estadual","RO","NA","001","0102","3","152014","8","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"84638196000134","Estadual","RO","NA","001","0102","3","151516","0","Fundo Partidário"
"PARTIDO NOVO","NOVO",30,"29028062000193","Estadual","RO","NA","001","0102","3","80892","X","Fundo Partidário"
"PARTIDO NOVO","NOVO",30,"29028062000193","Estadual","RO","NA","001","0102","3","80890","3","Fundo Partidário"
"PARTIDO NOVO","NOVO",30,"29028062000193","Estadual","RO","NA","001","0102","3","80889","X","Outros Recursos"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"22819890000109","Estadual","RO","NA","001","3796","6","36227","1","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"05711064000114","Estadual","RO","NA","001","2290","X","71629","4","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"05711064000114","Estadual","RO","NA","001","2290","X","66346","8","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"05711064000114","Estadual","RO","NA","001","2290","X","49292","2","Outros Recursos"
"PROGRESSISTAS","PP",11,"02104754000117","Estadual","RO","NA","001","102","3","75231","2","Fundo Partidário"
"PROGRESSISTAS","PP",11,"02104754000117","Estadual","RO","NA","001","102","3","647742","9","Outros Recursos"
"PROGRESSISTAS","PP",11,"02104754000117","Estadual","RO","NA","001","102","3","111111","6","Fundo Partidário"
"PARTIDO DA REPÚBLICA","PR",22,"08963082000181","Estadual","RO","NA","001","102","3","222015","6","Fundo Partidário"
"PARTIDO DA REPÚBLICA","PR",22,"08963082000181","Estadual","RO","NA","001","102","3","222016","4","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"08963082000181","Estadual","RO","NA","001","102","3","78508","3","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08140560000153","Estadual","RO","NA","001","2290","X","53690","3","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08140560000153","Estadual","RO","NA","001","2290","X","71785","1","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08140560000153","Estadual","RO","NA","001","2290","X","61808","X","Fundo Partidário"
"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","PRTB",28,"15786840000107","Estadual","RO","NA","104","33060",,"1831","03","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"01784178000133","Estadual","RO","NA","001","0102","3","78456","7","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"01784178000133","Estadual","RO","NA","001","0102","3","56102","9","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"01784178000133","Estadual","RO","NA","001","0102","3","10175","3","Fundo Partidário"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"08597385000128","Estadual","RO","NA","001","3181","X","42091","3","Fundo Partidário"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"08597385000128","Estadual","RO","NA","001","3181","X","35248","9","Outros Recursos"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"08597385000128","Estadual","RO","NA","001","3181","X","42090","5","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"14790362000138","Estadual","RO","NA","001","102","3","555555","8","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"14790362000138","Estadual","RO","NA","001","102","3","60850","5","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"14790362000138","Estadual","RO","NA","001","102","3","58720","6","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"01131627000144","Estadual","RO","NA","001","0102","3","78044","8","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"01131627000144","Estadual","RO","NA","001","0102","3","55443","X","Fundo Partidário"
"PARTIDO SOCIALISMO E LIBERDADE","PSOL",50,"08071960000154","Estadual","RO","NA","001","3231","X","28730","X","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"04928495000174","Estadual","RO","NA","001","0102","3","131301","0","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"04928495000174","Estadual","RO","NA","001","102","3","650654","2","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"04928495000174","Estadual","RO","NA","001","102","3","2413","9","Outros Recursos"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"22841001000100","Estadual","RO","NA","001","0102","3","77746","3","Fundo Partidário"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"22841001000100","Estadual","RO","NA","001","0102","3","141414","3","Fundo Partidário"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"22841001000100","Estadual","RO","NA","001","0102","3","131414","9","Outros Recursos"
"REDE SUSTENTABILIDADE","REDE",18,"24245977000137","Estadual","RO","NA","001","7116","1","8359","3","Fundo Partidário"
"REDE SUSTENTABILIDADE","REDE",18,"24245977000137","Estadual","RO","NA","001","7116","1","8358","5","Outros Recursos"
"REDE SUSTENTABILIDADE","REDE",18,"24245977000137","Estadual","RO","NA","001","7116","1","8357","7","Outros Recursos"
"REDE SUSTENTABILIDADE","REDE",18,"24245977000137","Estadual","RO","NA","001","7116","1","8178","7","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"19511025000188","Estadual","RO","NA","001","5885","8","11657","2","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"19511025000188","Estadual","RO","NA","001","5885","8","11659","9","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"19511025000188","Estadual","RO","NA","001","1178","9","64903","1","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"19511025000188","Estadual","RO","NA","001","1178","9","64904","x","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"19511025000188","Estadual","RO","NA","001","1178","9","63923","0","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"84632819000161","Municipal","RO","GUAJARÁ-MIRIM","104","3784",,"469","0","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"23762606000160","Municipal","RO","MACHADINHO DO OESTE","001","2265","9","20014","X","Outros Recursos"
"PARTIDO VERDE","PV",43,"15624816000163","Municipal","RO","SÃO FRANCISCO DO GUAPORÉ","001","4125","4","14965","9","Outros Recursos"
"DEMOCRACIA CRISTÃ","DC",27,"05070853000113","Estadual","RR","NA","003","9",,"074101","3","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"03656678000115","Estadual","RR","NA","001","2617","4","48907","7","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"03656678000115","Estadual","RR","NA","001","2617","4","55094","9","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"03656678000115","Estadual","RR","NA","001","2617","4","20107","3","Fundo Partidário"
"PODEMOS","PODE",19,"03573871000192","Estadual","RR","NA","001","0250","x","118657","4","Fundo Partidário"
"PODEMOS","PODE",19,"03573871000192","Estadual","RR","NA","001","0250","x","116771","5","Outros Recursos"
"PODEMOS","PODE",19,"03573871000192","Estadual","RR","NA","001","0250","x","116770","7","Fundo Partidário"
"PROGRESSISTAS","PP",11,"03561705000176","Estadual","RR","NA","001","2617","4","36973","x","Outros Recursos"
"PROGRESSISTAS","PP",11,"03561705000176","Estadual","RR","NA","001","2617","4","16130","6","Fundo Partidário"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03858702000107","Estadual","RR","NA","001","2617","4","16401","1","Fundo Partidário"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03858702000107","Estadual","RR","NA","001","2617","4","16402","x","Outros Recursos"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"03858702000107","Estadual","RR","NA","001","2617","4","56877","5","Fundo Partidário"
"PARTIDO DA REPÚBLICA","PR",22,"08778033000179","Estadual","RR","NA","001","2617","4","54752","2","Fundo Partidário"
"PARTIDO DA REPÚBLICA","PR",22,"08778033000179","Estadual","RR","NA","001","2617","4","29627","9","Fundo Partidário"
"PARTIDO DA REPÚBLICA","PR",22,"08778033000179","Estadual","RR","NA","001","2617","4","29628","7","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08026413000157","Estadual","RR","NA","001","0250","x","79731","6","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08026413000157","Estadual","RR","NA","001","0250","x","77223","2","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08026413000157","Estadual","RR","NA","001","0250","X","117011","2","Fundo Partidário"
"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","PRTB",28,"05146715000170","Estadual","RR","NA","001","4263","3","63607","X","Fundo Partidário"
"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","PRTB",28,"05146715000170","Estadual","RR","NA","001","4263","3","63609","6","Fundo Partidário"
"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","PRTB",28,"05146715000170","Estadual","RR","NA","001","4263","3","63610","X","Outros Recursos"
"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","PRTB",28,"05146715000170","Estadual","RR","NA","001","4263","3","48875","5","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"02172315000141","Estadual","RR","NA","001","2617","4","54076","5","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"02172315000141","Estadual","RR","NA","001","2617","4","51180","3","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"02172315000141","Estadual","RR","NA","001","2617","4","32442","6","Fundo Partidário"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"06347414000178","Estadual","RR","NA","001","2617","4","42618","0","Outros Recursos"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"06347414000178","Estadual","RR","NA","001","2617","4","56836","8","Fundo Partidário"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"06347414000178","Estadual","RR","NA","001","2617","4","30932","X","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"84023985000160","Estadual","RR","NA","001","2617","4","43677","1","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"84023985000160","Estadual","RR","NA","001","2617","4","54071","4","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"84023985000160","Estadual","RR","NA","001","2617","4","34530","X","Fundo Partidário"
"PARTIDO SOCIAL LIBERAL","PSL",17,"05056811000128","Estadual","RR","NA","001","2617","4","7603","1","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"01830037000100","Estadual","RR","NA","001","2617","4","46399","X","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"01830037000100","Estadual","RR","NA","001","2617","4","16874","2","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"01830037000100","Estadual","RR","NA","001","2617","4","49396","1","Fundo Partidário"
"PARTIDO VERDE","PV",43,"06720306000107","Estadual","RR","NA","003","9",,"074921","9","Outros Recursos"
"PARTIDO VERDE","PV",43,"06720306000107","Estadual","RR","NA","003","9",,"074922","7","Fundo Partidário"
"PARTIDO VERDE","PV",43,"06720306000107","Estadual","RR","NA","003","9",,"074454","3","Fundo Partidário"
"REDE SUSTENTABILIDADE","REDE",18,"24856203000142","Estadual","RR","NA","001","0250","X","117335","9","Fundo Partidário"
"REDE SUSTENTABILIDADE","REDE",18,"24856203000142","Estadual","RR","NA","001","0250","X","117332","4","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"19428020000196","Estadual","RR","NA","001","2617","4","51350","4","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"19428020000196","Estadual","RR","NA","001","2617","4","51218","4","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"19428020000196","Estadual","RR","NA","001","2617","4","54505","8","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15739140000153","Municipal","RR","CAROEBE","001","3783","4","22073","6","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15739140000153","Municipal","RR","CAROEBE","001","3783","4","22072","8","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"15689370000155","Municipal","RR","BOA VISTA","001","1904","1","14503","3","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"15604501000154","Municipal","RR","BOA VISTA","001","0250","X","209618","8","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"15604501000154","Municipal","RR","BOA VISTA","001","0250","X","114866","4","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"15604501000154","Municipal","RR","BOA VISTA","001","0250","x","116083","4","Fundo Partidário"
"REDE SUSTENTABILIDADE","REDE",18,"25111059000188","Municipal","RR","BOA VISTA","001","2617","4","55211","9","Outros Recursos"
"REDE SUSTENTABILIDADE","REDE",18,"25111059000188","Municipal","RR","BOA VISTA","001","0250","X","117335","9","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"87582714000133","Estadual","RS","NA","041","0839",,"061601280","4","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"87582714000133","Estadual","RS","NA","041","0839",,"410563530","3","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"87582714000133","Estadual","RS","NA","041","0839",,"061578230","4","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"87582714000133","Estadual","RS","NA","041","0839",,"061573490","3","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"87582714000133","Estadual","RS","NA","041","0839",,"060508620","4","Outros Recursos"
"PARTIDO NOVO","NOVO",30,"26471374000189","Estadual","RS","NA","001","2514","2","49979","X","Outros Recursos"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"71585624000166","Estadual","RS","NA","001","3530","0","23100","2","Fundo Partidário"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"71585624000166","Estadual","RS","NA","001","3530","0","113256","3","Outros Recursos"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"71585624000166","Estadual","RS","NA","041","0839",,"060582230","6","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"88483128000102","Estadual","RS","NA","041","0100",,"061950000","1","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"88483128000102","Estadual","RS","NA","041","0839",,"060508430","9","Outros Recursos"
"PROGRESSISTAS","PP",11,"74703034000189","Estadual","RS","NA","001","010","8","25748","6","Fundo Partidário"
"PROGRESSISTAS","PP",11,"74703034000189","Estadual","RS","NA","001","010","8","108342","2","Fundo Partidário"
"PROGRESSISTAS","PP",11,"74703034000189","Estadual","RS","NA","041","0100",,"061007740","8","Outros Recursos"
"PROGRESSISTAS","PP",11,"74703034000189","Estadual","RS","NA","041","0839",,"060526210","6","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"07919379000187","Estadual","RS","NA","001","1889","9","129014","2","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"07919379000187","Estadual","RS","NA","001","1889","9","129469","5","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"07919379000187","Estadual","RS","NA","001","1889","9","129013","4","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"07919379000187","Estadual","RS","NA","001","3252","2","172735","4","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"91698118000190","Estadual","RS","NA","041","0839",,"061595670","1","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"91698118000190","Estadual","RS","NA","041","0839",,"060540400","1","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"91698118000190","Estadual","RS","NA","041","0839",,"060517710","2","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"91698118000190","Estadual","RS","NA","001","1889","9","122985","0","Outros Recursos"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"02592796000144","Estadual","RS","NA","001","3530","0","17066","6","Fundo Partidário"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"02592796000144","Estadual","RS","NA","001","3530","0","114294","1","Fundo Partidário"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"02592796000144","Estadual","RS","NA","001","3530","0","110890","5","Outros Recursos"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"02592796000144","Estadual","RS","NA","001","3870","9","14294","8","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"14935252000117","Estadual","RS","NA","041","0839",,"061572510","6","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"14935252000117","Estadual","RS","NA","001","2794","4","40034","3","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"97260160000101","Estadual","RS","NA","001","3240","9","34898","8","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"97260160000101","Estadual","RS","NA","001","3252","2","104545","8","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"97260160000101","Estadual","RS","NA","041","0100","0","061907390","1","Outros Recursos"
"PARTIDO SOCIALISMO E LIBERDADE","PSOL",50,"11664131000190","Estadual","RS","NA","001","3240","9","510050051","0","Fundo Partidário"
"PARTIDO SOCIALISMO E LIBERDADE","PSOL",50,"11664131000190","Estadual","RS","NA","001","3240","9","50052","6","Outros Recursos"
"PARTIDO SOCIALISMO E LIBERDADE","PSOL",50,"11664131000190","Estadual","RS","NA","001","3240","9","50051","8","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"91340083000113","Estadual","RS","NA","001","0010","8","107163","7","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"91340083000113","Estadual","RS","NA","041","0100",,"061959000","0","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"91340083000113","Estadual","RS","NA","041","0839",,"060515040","9","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"91340083000113","Estadual","RS","NA","001","0010","8","23528","8","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"91340083000113","Estadual","RS","NA","001","0010","8","113000","5","Fundo Partidário"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"89455091000163","Estadual","RS","NA","001","3240","9","34994","1","Outros Recursos"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"89455091000163","Estadual","RS","NA","041","0100","4","068707430","1","Outros Recursos"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"89455091000163","Estadual","RS","NA","041","0100","4","068707420","4","Outros Recursos"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"89455091000163","Estadual","RS","NA","041","0100","4","063722770","6","Fundo Partidário"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"89455091000163","Estadual","RS","NA","041","0100","4","063722760","2","Fundo Partidário"
"PARTIDO VERDE","PV",43,"93130300000176","Estadual","RS","NA","001","883","4","71070","9","Fundo Partidário"
"PARTIDO VERDE","PV",43,"93130300000176","Estadual","RS","NA","041","0100",,"062488430","4","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"20066348000199","Estadual","RS","NA","041","0073",,"061602660","0","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"20066348000199","Estadual","RS","NA","041","0073",,"061582020","6","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"20066348000199","Estadual","RS","NA","041","0073",,"061581390","0","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"20066348000199","Estadual","RS","NA","041","0073",,"061632430","6","Fundo Partidário"
"DEMOCRATAS","DEM",25,"03918320000113","Municipal","RS","HARMONIA","041","0567",,"061524710","7","Outros Recursos"
"DEMOCRATAS","DEM",25,"03375892000101","Municipal","RS","GUAÍBA","041","0219",,"068551270","0","Outros Recursos"
"DEMOCRATAS","DEM",25,"15355733000116","Municipal","RS","NOVA ARAÇÁ","041","0913",,"06058003","06","Fundo Partidário"
"DEMOCRATAS","DEM",25,"15355733000116","Municipal","RS","NOVA ARAÇÁ","041","0913",,"060573840","6","Outros Recursos"
"DEMOCRATAS","DEM",25,"91337683000122","Municipal","RS","GRAVATAÍ","001","0883","4","66226","7","Outros Recursos"
"DEMOCRATAS","DEM",25,"03885783000126","Municipal","RS","ILÓPOLIS","041","0902",,"060556750","4","Outros Recursos"
"DEMOCRATAS","DEM",25,"15383751000101","Municipal","RS","ARROIO DO MEIO","041","0550","42","060313900","9","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01397134000150","Municipal","RS","UNIÃO DA SERRA","041","0900",,"06008221","07","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"92411214000179","Municipal","RS","FREDERICO WESTPHALEN","104","0475",,"9197","03","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"12429685000175","Municipal","RS","TENENTE PORTELA","041","0942",,"061983300","0","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01092148000166","Municipal","RS","FARROUPILHA","001","0486","3","7444","6","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"90609629000126","Municipal","RS","ESTEIO","041","0213","2","060302800","2","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"02433736000189","Municipal","RS","TAVARES","041","0424",,"060042160","9","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01153825000109","Municipal","RS","SÃO JOSÉ DO OURO","041","0861","50","060056860","6","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"92465129000193","Municipal","RS","DOM PEDRITO","104","0469","3","282","3","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"92465129000193","Municipal","RS","DOM PEDRITO","104","0469","3","00000040","1","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"03968814000102","Municipal","RS","GENTIL","748","0226",,"60107","1","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"03899530000101","Municipal","RS","GARIBALDI","104","0476","0","00300002595","3","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"06332643000119","Municipal","RS","CARLOS BARBOSA","041","580",,"068507460","6","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"06332643000119","Municipal","RS","CARLOS BARBOSA","104","1925",,"01356267","3","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"06332643000119","Municipal","RS","CARLOS BARBOSA","104","1925",,"003808","3","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01146561000166","Municipal","RS","CHARRUA","104","2093","0","00300001721","0","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01245225000170","Municipal","RS","BARRACÃO","041","0127","18","060087770","6","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01258848000188","Municipal","RS","TEUTÔNIA","104","3917",,"1691","6","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"03416992000120","Municipal","RS","MAXIMILIANO DE ALMEIDA","041","618",,"41850186","07","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"91900266000146","Municipal","RS","CHARQUEADAS","041","0590",,"068570280","1","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"92922145000168","Municipal","RS","CANDIOTA","041","0577","70","060316210","8","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01237549000167","Municipal","RS","MOSTARDAS","001","1374","9","8584","7","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"04066222000168","Municipal","RS","BARROS CASSAL","001","2846","0","17050","X","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01370210000134","Municipal","RS","FELIZ","041","0615",,"060083200","5","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01339220000107","Municipal","RS","BOA VISTA DO SUL","041","0218","81","060624370","2","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"03886054000194","Municipal","RS","CAMPESTRE DA SERRA","001","0885","0","106351","0","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"03886054000194","Municipal","RS","CAMPESTRE DA SERRA","001","4532","2","6351","7","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"04008204000120","Municipal","RS","FLORIANO PEIXOTO","748","0217","0","17564","1","Outros Recursos"
