"PARTIDO","SIGLA","NR_PARTIDO","CNPJ","ESFERA","UF","MUNICIPIO","NR_BANCO","NR_AGENCIA","DV_AGENCIA","NR_CONTA","DV_CONTA","FONTE_RECURSO"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01381911000179","Estadual","AP","NA","001","4544","6","43352","7","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"01381911000179","Estadual","AP","NA","001","4544","6","21307","1","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"02669787000104","Estadual","AP","NA","001","4544","6","6082","8","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"02669787000104","Estadual","AP","NA","001","4544","6","27708","8","Outros Recursos"
"PARTIDO DA MOBILIZAÇÃO NACIONAL","PMN",33,"24062627000135","Estadual","AP","NA","001","4435","0","20462","5","Outros Recursos"
"PROGRESSISTAS","PP",11,"03659472000149","Estadual","AP","NA","001","0261","5","35886","x","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"05695101000148","Estadual","AP","NA","001","4544","6","32741","7","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"05695101000148","Estadual","AP","NA","001","4544","6","41418","2","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"05695101000148","Estadual","AP","NA","001","4544","6","33272","0","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"14403435000191","Municipal","AP","MACAPÁ","001","4544","6","43614","3","Fundo Partidário"
"PARTIDO TRABALHISTA CRISTÃO","PTC",36,"15641328000164","Municipal","AP","MACAPÁ","001","3346","4","55533","9","Fundo Partidário"
"DEMOCRACIA CRISTÃ","DC",27,"04278452000190","Estadual","BA","NA","001","2967","X","5517","4","Outros Recursos"
"DEMOCRACIA CRISTÃ","DC",27,"04278452000190","Estadual","BA","NA","001","3460","6","105517","8","Outros Recursos"
"DEMOCRATAS","DEM",25,"15028905000147","Estadual","BA","NA","001","2957","2","9047","6","Fundo Partidário"
"DEMOCRATAS","DEM",25,"15028905000147","Estadual","BA","NA","001","2957","2","6059","3","Outros Recursos"
"DEMOCRATAS","DEM",25,"15028905000147","Estadual","BA","NA","001","2957","2","26688","4","Fundo Partidário"
"DEMOCRATAS","DEM",25,"15028905000147","Estadual","BA","NA","001","2957","2","25182","8","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"13549175000102","Estadual","BA","NA","237","03673",,"0032263","6","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"13549175000102","Estadual","BA","NA","001","2957","2","5794","0","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"13549175000102","Estadual","BA","NA","001","2957","2","5101","2","Outros Recursos"
